born | C:BIRTH
talks between | C:INTERACTION
stance on | C:STATEMENT
denied | C:STATEMENT
encouraged | C:STATEMENT
moving the embassy to | C:LOCATION-RELATED
impose | C:STATEMENT 
had gathered at | C:LOCATION-RELATED
protest | C:STATEMENT
relocating diplomatic operations from | C:LOCATION-RELATED
threatened on | C:STATEMENT
was a declaration of | C:STATEMENT
spoke | C:STATEMENT
met the head of | C:INTERACTION
meeting | C:INTERACTION
discussing | C:STATEMENT
denies | C:STATEMENT
revealed that | C:STATEMENT
speaks to | C:INTERACTION
criticism of | C:STATEMENT
raised alarms about | C:STATEMENT
worked as | C:ENGAGEMENT
declining to | C:STATEMENT
reluctant to | C:STATEMENT
announcement at | C:STATEMENT
concerned about	15 | C:STATEMENT
meeting for | C:INTERACTION
work well together | C:INTERACTION
questions about | C:STATEMENT
spoken out agains | C:STATEMENT
question about | C:STATEMENT
protested against | C:STATEMENT
has criticised | C:STATEMENT
protests against | C:STATEMENT
statement on | C:STATEMENT
travel ban to | C:LOCATION-RELATED
has triggered a chorus of | C:STATEMENT
received an endorsement from | C:STATEMENT
transactions with | C:INTERACTION
expected announcement | C:STATEMENT
communications with | C:STATEMENT
communicated with | C:STATEMENT
commitment to | C:STATEMENT
setting in motion a plan to | C:CREATION
inaugural address | C:STATEMENT
rallied against | C:STATEMENT
spoke during | C:STATEMENT
worried that | C:STATEMENT
calling for a pause | C:STATEMENT
congratulated | C:STATEMENT
ties with | C:INTERACTION
concerned about | C:STATEMENT
have urged members | C:STATEMENT
misleading impression of | C:STATEMENT
stated wish to | C:STATEMENT
emphasised that | C:STATEMENT
make a deal with | C:INTERACTION
admitted to | C:STATEMENT
agreements between | C:INTERACTION
recognition of | C:STATEMENT
committed to | C:STATEMENT
assurances to | C:STATEMENT
conversations with | C:INTERACTION
was removed from | C:ENGAGEMENT
move its | C:LOCATION-RELATED
discord among | C:INTERACTION
legal challenge | C:LAW-RELATED
criticize | C:STATEMENT
disappointed | C:STATEMENT
serve in | C:ENGAGEMENT
on the phone with | C:INTERACTION
reacted to | C:STATEMENT
attending | C:PARTICIPATION
dismiss | C:STATEMENT
proclaimed | C:STATEMENT
had a conversation | C:INTERACTION
stated | C:STATEMENT
concern from | C:STATEMENT
intense criticism | C:STATEMENT
criticism from | C:STATEMENT
avoiding prosecution | C:LAW-RELATED
relations with | C:INTERACTION
suggests that | C:STATEMENT
affiliated with | C:ENGAGEMENT
worried about | C:STATEMENT
announcing his intent to | C:STATEMENT
sparked debate about | C:STATEMENT
strained relations with | C:INTERACTION
publicized | C:STATEMENT
arrests | C:LAW-RELATED
negotiations with | C:INTERACTION
reactions to | C:STATEMENT
unleashed fierce criticism | C:STATEMENT
talked to | C:INTERACTION
am pleased | C:STATEMENT
relationships with | C:INTERACTION
taking a tougher stand | C:STATEMENT
alleged crimes | C:STATEMENT
has spoken to | C:INTERACTION
moving its | C:LOCATION-RELATED
formulates a response | C:STATEMENT
relations between | C:INTERACTION
provide his advice | C:STATEMENT
contact with | C:INTERACTION
partnership between | C:INTERACTION
remains supportive of | C:STATEMENT
concerned that | C:STATEMENT
reconciled with | C:INTERACTION
reflections on | C:STATEMENT
shakes hands with | C:INTERACTION
remains the governor | C:ENGAGEMENT
owns one of | C:OWNERSHIP
asked for | C:STATEMENT
’s reaction | C:STATEMENT
’s recommendations | C:STATEMENT
's reaction | C:STATEMENT
's recommendations | C:STATEMENT
relations with | C:INTERACTION
pleaded guilty | C:LAW-RELATED
announcing plans | C:STATEMENT
discouraged | C:STATEMENT
has withdrawn from | C:ENGAGEMENT
relationship with | C:INTERACTION
constitutes a violation of | C:LAW-RELATED
withdrew from | C:STATEMENT
apologized for | C:STATEMENT
unveiled in | C:STATEMENT
partnership with | C:INTERACTION
fired from | C:ENGAGEMENT
received a telephone call from | C:INTERACTION
sent a message to | C:INTERACTION
received a phone call from | C:INTERACTION
judged by a civil court | C:LAW-RELATED
emphasizing that | C:STATEMENT
seal | C:CREATION
seals | C:CREATION
sealed | C:CREATION
convicted at | C:LAW-RELATED
convict | C:LAW-RELATED
convicted | C:LAW-RELATED
deliver | C:CREATION
notify | C:STATEMENT
notified | C:STATEMENT
concluded by | C:STATEMENT
won	| C:ACHIEVEMENT
killed | C:DEATH
killed | C:VIOLENCE-INCIDENT
asked | C:STATEMENT
was in | C:LOCATION-RELATED
win	| C:ACHIEVEMENT
wounded | C:HEALTH-CONDITION
infected with | C:HEALTH-CONDITION 
suffers from | C:HEALTH-CONDITION
sufferred from | C:HEALTH-CONDITION
ranked | C:ACHIEVEMENT
charged | C:LAW-RELATED
sentenced to | C:LAW-RELATED
diagnosed with | C:HEALTH-CONDITION
wounded in | C:HEALTH-CONDITION
indicated | C:STATEMENT
concluded | C:STATEMENT
wanted | C:STATEMENT
accepted | C:STATEMENT
acknowledged | C:STATEMENT
cardiac arrest | C:HEALTH-CONDITION
arrest | C:LAW-RELATED
arrested | C:LAW-RELATED
arresting | C:LAW-RELATED
arrived at | C:LOCATION-RELATED
speak | C:STATEMENT
talk about | C:STATEMENT
thank | C:STATEMENT
argue | C:STATEMENT
explains | C:STATEMENT
committed | C:STATEMENT
disclosed | C:STATEMENT
detained at | C:LAW-RELATED
barred from | C:LAW-RELATED
jailed in | C:LAW-RELATED
detained by | C:LAW-RELATED
detained on | C:LAW-RELATED
opened fire with | C:LAW-RELATED
imprisoned | C:LAW-RELATED
apprehended | C:LAW-RELATED
suspended for | C:LAW-RELATED
found guilty of | C:LAW-RELATED
charged for | C:LAW-RELATED
detained in | C:LAW-RELATED
jailed in | C:LOCATION-RELATED
detained in | C:LOCATION-RELATED
answered with | C:STATEMENT
prefers | C:STATEMENT
apologize for | C:STATEMENT
stood for | C:STATEMENT
commit to | C:STATEMENT
reflect on | C:STATEMENT
advocated | C:STATEMENT
was against | C:STATEMENT
congratulate | C:STATEMENT
are against | C:STATEMENT
authorized | C:STATEMENT
pushed for | C:STATEMENT
affirmed | C:STATEMENT
is the author of | C:CREATION
commuted | C:LOCATION-RELATED
reside in | C:LOCATION-RELATED
landed at | C:LOCATION-RELATED
take place at | C:LOCATION-RELATED
fell in love with | C:INTERACTION
interaction | C:INTERACTION
interactions | C:INTERACTION
relations | C:INTERACTION
relation | C:INTERACTION
reaction | C:STATEMENT
recognition | C:STATEMENT
fears | C:STATEMENT
hopes | C:STATEMENT
fear | C:STATEMENT
hope | C:STATEMENT
reactions | C:STATEMENT
endorsement | C:STATEMENT
endorsements | C:STATEMENT
detonated | C:VIOLENCE-INCIDENT
detonate | C:VIOLENCE-INCIDENT
bombed | C:VIOLENCE-INCIDENT
opened fire in | C:VIOLENCE-INCIDENT
opened fire on | C:VIOLENCE-INCIDENT
opened fire in | C:LOCATION-RELATED
detained for | C:LAW-RELATED
recover from | C:HEALTH-CONDITION
hospitalized | C:HEALTH-CONDITION
took place in | C:LOCATION-RELATED
opened fire at | C:VIOLENCE-INCIDENT
knocked out | C:ACHIEVEMENT
knock out | C:ACHIEVEMENT
won | C:ACHIEVEMENT
win against | C:ACHIEVEMENT
struck by | C:VIOLENCE-INCIDENT
struck by the generosity | C:STATEMENT
struck by the fear | C:STATEMENT
struck by the questions | C:STATEMENT
struck by the resemblance | C:STATEMENT
struck by the quickness | C:STATEMENT
struck by controversy | C:STATEMENT
struck by tragedy | C:STATEMENT
struck by the strength | C:STATEMENT
struck by the fact | C:STATEMENT
struck by the enthusiasm | C:STATEMENT
struck by the passion | C:STATEMENT
struck by a sense | C:STATEMENT
struck by the contrast between | C:STATEMENT
struck by its ability | C:STATEMENT
struck by the profound lack of | C:STATEMENT
struck by the character of | C:STATEMENT
struck by the sense | C:STATEMENT
struck by multiple rounds of | C:STATEMENT
struck by a display case | C:STATEMENT
struck by the strong sense | C:STATEMENT
struck by the enormous | C:STATEMENT
struck by the angelic nature | C:STATEMENT
struck by the notion | C:STATEMENT
struck by the richness | C:STATEMENT
struck by the general absence | C:STATEMENT
struck by the diversity | C:STATEMENT
struck by the relative lack | C:STATEMENT
struck by the amount of | C:STATEMENT
struck by the uniqueness | C:STATEMENT
struck by the difference | C:STATEMENT
struck by tragedy | C:STATEMENT
struck by the generous | C:STATEMENT
struck by perpetual congestion | C:STATEMENT
struck by the inferences | C:STATEMENT
struck by the enormity | C:STATEMENT
struck by the demand for | C:STATEMENT
struck by the sad irony | C:STATEMENT
struck by the creative | C:STATEMENT
struck by a unique | C:STATEMENT
struck by the mood | C:STATEMENT
struck by a train  | C:STATEMENT
struck by the homely feel | C:STATEMENT
struck by a statement from | C:STATEMENT
struck by just how much | C:STATEMENT
struck by severe doubts | C:STATEMENT
struck by the similarities | C:STATEMENT
struck by the handle | C:STATEMENT
struck by the response | C:STATEMENT
struck by the lack of | C:STATEMENT
struck by the newly independent | C:STATEMENT
struck by just how | C:STATEMENT
struck by a story | C:STATEMENT
struck by the changing attitude | C:STATEMENT
struck by similarities | C:STATEMENT
struck by an unexpected parallel | C:STATEMENT
struck by the sheer numbers | C:STATEMENT
struck by tragedy | C:STATEMENT
struck by the incredible investment | C:STATEMENT
struck by the professionalism | C:STATEMENT
struck by your response | C:STATEMENT
struck by an overwhelming sense | C:STATEMENT
struck by the public backing for | C:STATEMENT
struck by the fact that | C:STATEMENT
struck by the glare of | C:STATEMENT
struck by a story | C:STATEMENT
struck by the intense level | C:STATEMENT
struck by the emphatic manner | C:STATEMENT
struck by the seeming injustice | C:STATEMENT
struck by how | C:STATEMENT
struck by tragedy | C:STATEMENT
struck by the humility | C:STATEMENT
struck by contemporary feel | C:STATEMENT
struck by calamities | C:STATEMENT
struck by the kindness | C:STATEMENT
struck by the fact | C:STATEMENT
struck by the sight | C:STATEMENT
struck by the many acts of | C:STATEMENT
struck by the quality | C:STATEMENT
struck by the role | C:STATEMENT
struck by the hopeful tone | C:STATEMENT
struck by a utility | C:STATEMENT
struck by the tension of | C:STATEMENT
struck by the importance | C:STATEMENT
struck by how | C:STATEMENT
struck by the possibility | C:STATEMENT
struck by the nature of | C:STATEMENT
struck by the intimacy | C:STATEMENT
struck by his recent view | C:STATEMENT
struck by the enthusiasm | C:STATEMENT
struck by the possibilities | C:STATEMENT
struck by the serious inequality | C:STATEMENT
struck by the eloquence | C:STATEMENT
struck by the dynamism | C:STATEMENT
awestruck with | C:STATEMENT
awestruck by | C:STATEMENT
deal with | C:INTERACTION
struck deal with | C:INTERACTION
strike deal with | C:INTERACTION
struck a deal with | C:INTERACTION
struck a deal | C:INTERACTION
struck a far more conciliatory tone with | C:INTERACTION
struck a protectionist tone | C:INTERACTION
struck a lucrative deal with | C:INTERACTION
struck a markedly different tone from | C:INTERACTION
struck a more conciliatory tone toward | C:INTERACTION
struck a chord in | C:INTERACTION
struck a more optimistic tone for | C:INTERACTION
struck a chord for | C:INTERACTION
struck a rights deal with | C:INTERACTION
struck a cautiously positive tone on | C:INTERACTION
struck a more positive tone | C:INTERACTION
struck a more moderate tone | C:INTERACTION
struck a preliminary agreement with | C:INTERACTION
struck a highly personal tone | C:INTERACTION
struck a good chord in | C:INTERACTION
struck a conciliatory note | C:INTERACTION
struck a conciliatory tone | C:INTERACTION
struck a more sanguine tone on | C:INTERACTION
struck a tough note in | C:INTERACTION
struck a more optimistic tone with | C:INTERACTION
struck a special deal with | C:INTERACTION
struck a similar tone about | C:INTERACTION
struck a more conciliatory note in | C:INTERACTION
struck a resonant chord between | C:INTERACTION
struck a conciliatory tone with | C:INTERACTION
struck a deal to | C:INTERACTION
struck with | C:STATEMENT
flood | C:NATURAL-DISASTER
earthquake | C:NATURAL-DISASTER
earthquakes | C:NATURAL-DISASTER
flooding | C:NATURAL-DISASTER
floods | C:NATURAL-DISASTER
landslide | C:NATURAL-DISASTER
landslides | C:NATURAL-DISASTER
avalanche | C:NATURAL-DISASTER
avalanches | C:NATURAL-DISASTER
volcanic eruption | C:NATURAL-DISASTER
volcanic eruptions | C:NATURAL-DISASTER
volcano eruption | C:NATURAL-DISASTER
volcano eruptions | C:NATURAL-DISASTER
tsunami | C:NATURAL-DISASTER
tsunami | C:NATURAL-DISASTER
ground blizzard | C:NATURAL-DISASTER
ground blizzards | C:NATURAL-DISASTER
blizzard | C:NATURAL-DISASTER
blizzards | C:NATURAL-DISASTER
hurricane | C:NATURAL-DISASTER
hurricanes | C:NATURAL-DISASTER
cyclone | C:NATURAL-DISASTER
cyclones | C:NATURAL-DISASTER
typhoon | C:NATURAL-DISASTER
typhoons | C:NATURAL-DISASTER
drought | C:NATURAL-DISASTER
droughts | C:NATURAL-DISASTER
thuderstorm | C:NATURAL-DISASTER
thuderstorms | C:NATURAL-DISASTER
hailstorm | C:NATURAL-DISASTER
hailstorms | C:NATURAL-DISASTER
heat wave | C:NATURAL-DISASTER
heat waves | C:NATURAL-DISASTER
tornado | C:NATURAL-DISASTER
tornadoes | C:NATURAL-DISASTER
wildfire | C:NATURAL-DISASTER
wildfires | C:NATURAL-DISASTER
tasked | C:ENGAGEMENT
hired | C:ENGAGEMENT
crashed into | C:VIOLENCE-INCIDENT
crashed | C:VIOLENCE-INCIDENT
engage with | C:ENGAGEMENT
engage with | C:INTERACTION
presided over | C:ENGAGEMENT
resigned from | C:ENGAGEMENT
signed with | C:ENGAGEMENT
arrive at | C:LOCATION-RELATED
sent back to | C:LOCATION-RELATED
landed in | C:LOCATION-RELATED
is responsible for | C:ENGAGEMENT
work with | C:ENGAGEMENT
continue to work with | C:ENGAGEMENT
reunited with | C:INTERACTION
rooted in | C:LOCATION-RELATED
connected with | C:INTERACTION
evacuated from | C:LOCATION-RELATED
escaped from | C:LOCATION-RELATED
exploded | C:VIOLENCE-INCIDENT
devastated | C:VIOLENCE-INCIDENT
injured | C:HEALTH-CONDITION
wounded | C:HEALTH-CONDITION
sick | C:HEALTH-CONDITION
wounds | C:HEALTH-CONDITION
injuries | C:HEALTH-CONDITION
injury | C:HEALTH-CONDITION
is a strong statement of | C:STATEMENT
is a poignant statement for | C:STATEMENT
is a dissatisfaction of | C:STATEMENT
is a part of | C:IS-A
is a symbol of | C:IS-A
is a kind of | C:IS-A
is a type of | C:IS-A
is a product of | C:IS-A
is a big part of | C:IS-A
is a key part of | C:IS-A
is a form of | C:IS-A
is a leading provider of | C:ENGAGEMENT
is a leader in | C:ENGAGEMENT
is a subsidiary of | C:ENGAGEMENT
is a global leader in | C:ENGAGEMENT
is a leading distributor of | C:ENGAGEMENT
is a group of | C:IS-A
is a native of | C:IS-A
is a fan of | C:IS-A
is a professor of | C:ENGAGEMENT
is a minority in | C:IS-A
is a combination of | C:IS-A
is a friend of | C:INTERACTION
is a friend of | C:INTERACTION
is a case of | C:IS-A
is a writer for | C:ENGAGEMENT
is a nation of | C:IS-A
is a partner at | C:ENGAGEMENT
is a piece of | C:IS-A
is a perfect example of | C:IS-A
is a mix of | C:IS-A
is a veteran of | C:ENGAGEMENT
is a good example of | C:IS-A
is a close ally of | C:INTERACTION
is a collection of | C:IS-A
is a world leader in | C:ENGAGEMENT
is a staff writer at | C:ENGAGEMENT
is a professor at | C:ENGAGEMENT
is a freelance reporter for | C:ENGAGEMENT
is a sponsor of | C:ENGAGEMENT
is a columnist for | C:ENGAGEMENT
is a long-time critic of | C:STATEMENT
is a national television columnist for | C:ENGAGEMENT
is a managing director in | C:ENGAGEMENT
is a columnist with | C:ENGAGEMENT
is a senior manager at | C:ENGAGEMENT
is a past president of | C:ENGAGEMENT
is a key player in | C:ENGAGEMENT
is a staff writer for | C:ENGAGEMENT
is a senior at | C:ENGAGEMENT
is a fellow at  | C:ENGAGEMENT
is a former officer in | C:ENGAGEMENT
is a reporter with | C:ENGAGEMENT
is a professor in | C:ENGAGEMENT
is a spokesman for | C:ENGAGEMENT
is a major investor in | C:ENGAGEMENT
is a specialist in | C:ENGAGEMENT
is a journalist | C:ENGAGEMENT
is a former president of | C:ENGAGEMENT
is a general assignment reporter | C:ENGAGEMENT
is a journalist | C:ENGAGEMENT
is a clerical worker | C:ENGAGEMENT
is a political officer for | C:ENGAGEMENT
is a master of | C:ENGAGEMENT
is a reporter for | C:ENGAGEMENT
is a senior fellow at | C:ENGAGEMENT
is a partner in | C:ENGAGEMENT
is a partner of | C:ENGAGEMENT
is a successor to | C:ENGAGEMENT
is a senior adviser to | C:ENGAGEMENT
is a notable advocate for | C:ENGAGEMENT
is a researcher at | C:ENGAGEMENT
is a lecturer in | C:ENGAGEMENT
is a correspondent for | C:ENGAGEMENT
is a counselor at | C:ENGAGEMENT
is a major contributor to | C:ENGAGEMENT
is a candidate to become | C:ENGAGEMENT
is a sports columnist for | C:ENGAGEMENT
is a worldwide leader in | C:ENGAGEMENT
is a vice-president of | C:ENGAGEMENT
is a lecturer at | C:ENGAGEMENT
is a player with | C:ENGAGEMENT
is a former colonial overseer in | C:ENGAGEMENT
is a fellow of | C:ENGAGEMENT
is a minister in | C:ENGAGEMENT
is a police officer | C:ENGAGEMENT
is a large contributor to | C:ENGAGEMENT
is a boss in | C:ENGAGEMENT
is a former employee | C:ENGAGEMENT
is a senior in | C:ENGAGEMENT
is a senior correspondent for | C:ENGAGEMENT
is a good candidate for | C:ENGAGEMENT
is a lawyer with | C:ENGAGEMENT
is a research fellow | C:ENGAGEMENT
is a senior lecturer | C:ENGAGEMENT
is a teacher | C:ENGAGEMENT
is a leading developer | C:ENGAGEMENT
is a consultant | C:ENGAGEMENT
is a consultant | C:ENGAGEMENT
is a former spokesman | C:ENGAGEMENT
is a video reporter | C:ENGAGEMENT
is a former attorney | C:ENGAGEMENT
is a free agent | C:ENGAGEMENT
is a longtime admirer of | C:STATEMENT
is a harsh critic of | C:STATEMENT
is a vociferous opponent of | C:STATEMENT
is a statement from | C:STATEMENT
is a frequent critic of | C:STATEMENT
is a strong advocate of | C:STATEMENT
is a strategic ally of | C:STATEMENT
is a firm believer in | C:STATEMENT
is a strict adherent of | C:STATEMENT
is a prominent critic of | C:STATEMENT
is a finalist in | C:ACHIEVEMENT
is a winner of | C:ACHIEVEMENT
is a nominee for | C:ACHIEVEMENT
great achievement for | C:ACHIEVEMENT
is a founder of | C:ENGAGEMENT
is a lobbyist with | C:ENGAGEMENT
is a manager | C:ENGAGEMENT
is a close associate of | C:ENGAGEMENT
is a player of | C:ENGAGEMENT
is a former parliamentary representative for | C:ENGAGEMENT
is a financial backer of | C:ENGAGEMENT
is a major share holder of | C:ENGAGEMENT
is a psychology instructor | C:ENGAGEMENT
is a full partner at | C:ENGAGEMENT
is a trained lawyer in | C:ENGAGEMENT
is a former film commissioner | C:ENGAGEMENT
is a postgraduate student journalist | C:ENGAGEMENT
is a senior vice president at | C:ENGAGEMENT
is a professional practitioner of | C:ENGAGEMENT
is a former system administrator for | C:ENGAGEMENT
is a prominent religious figure in | C:ENGAGEMENT
is a freelance writer at | C:ENGAGEMENT
is a distinguished teacher | C:ENGAGEMENT
is a frequent lecturer at | C:ENGAGEMENT
is a successful basketball player in | C:ENGAGEMENT
is a criminal defense lawyer at | C:ENGAGEMENT
is a temporary worker at | C:ENGAGEMENT
is a leadership consultant at | C:ENGAGEMENT
is a private investor with | C:ENGAGEMENT
is a community investment manager | C:ENGAGEMENT
is a former vice chair of | C:ENGAGEMENT
is a talented point guard | C:ENGAGEMENT
is a good young manager | C:ENGAGEMENT
is a business journalist at | C:ENGAGEMENT
is a junior at | C:ENGAGEMENT
is a tax partner at | C:ENGAGEMENT
is a scientist from | C:ENGAGEMENT
is a sales executive at | C:ENGAGEMENT
is a first year student | C:EDUCATION
is a senior adviser | C:ENGAGEMENT
is a governor for | C:ENGAGEMENT
is a subcontractor with | C:ENGAGEMENT
is a powerful player with | C:ENGAGEMENT
is a serious politician at | C:ENGAGEMENT
is a comedy actress | C:ENGAGEMENT
is a communist dictator | C:ENGAGEMENT
is a police officer at | C:ENGAGEMENT
is a golfer | C:ENGAGEMENT
is a huge trader with | C:ENGAGEMENT
is a regional president of | C:ENGAGEMENT
is a former commissioner of | C:ENGAGEMENT
is a former deputy speaker of | C:ENGAGEMENT
is a senior securities lawyer with | C:ENGAGEMENT
is a leading worldwide manufacturer of | C:ENGAGEMENT
is a personal injury lawyer | C:ENGAGEMENT
is a medical doctor | C:ENGAGEMENT
is a licensed practitioner | C:ENGAGEMENT
is a major developer | C:ENGAGEMENT
is a french composer | C:ENGAGEMENT
is a subject matter expert | C:ENGAGEMENT
is a highly experienced geologist with | C:ENGAGEMENT
is a steward | C:ENGAGEMENT
is a former vice president of | C:ENGAGEMENT
is a political commentator | C:ENGAGEMENT
is a cinematic master of | C:ENGAGEMENT
is a macroeconomic adviser | C:ENGAGEMENT
is a young talented artist | C:ENGAGEMENT
is a former religion editor at | C:ENGAGEMENT
is a very pleasing substitute for | C:ENGAGEMENT
is a program associate in | C:ENGAGEMENT
is a responsible developer of | C:ENGAGEMENT
is a pornographic movie star | C:ENGAGEMENT
is a full-time driver at | C:ENGAGEMENT
is a police detective in | C:ENGAGEMENT
is a dancer for | C:ENGAGEMENT
is a head priest of | C:ENGAGEMENT
is a software engineer in | C:ENGAGEMENT
is a managing engineer with | C:ENGAGEMENT
is a software engineer at | C:ENGAGEMENT
is a senior media industry professional with | C:ENGAGEMENT
is a leader | C:ENGAGEMENT
is a lieutenant commander | C:ENGAGEMENT
is a consultant solicitor | C:ENGAGEMENT
is a major admirer of | C:STATEMENT
is a prisoner at | C:LAW-RELATED
is a relationship between | C:INTERACTION
is a close friend of | C:INTERACTION
is a longtime rival of | C:INTERACTION
is a well-known provider of | C:ENGAGEMENT
is a muslim refugee from | C:IS-A
is a major employer in | C:ENGAGEMENT
is a global pioneer in | C:ENGAGEMENT
is a critical partner to | C:INTERACTION
is a producer of | C:ENGAGEMENT
is a trustee of | C:INTERACTION
is a fugitive from | C:IS-A
is a producer for | C:ENGAGEMENT
is a pioneer of | C:ENGAGEMENT
is a manufacturer of | C:ENGAGEMENT
is a champion for | C:ENGAGEMENT
is a legal resident in | C:LOCATION-RELATED
is a leading player in | C:ENGAGEMENT
is a relative newcomer to | C:ENGAGEMENT
is a company registered in | C:LOCATION-RELATED
is a national leader in | C:ENGAGEMENT
is a significant contributor to | C:ENGAGEMENT
is a potential leader for | C:ENGAGEMENT
is a shareholder in	24 | C:ENGAGEMENT
is a permanent resident of | C:LOCATION-RELATED
is a student from | C:LOCATION-RELATED
is a student from | C:EDUCATION
is a student of | C:EDUCATION
is a businessman from | C:LOCATION-RELATED
is a resident of | C:LOCATION-RELATED
is a businessman from | C:ENGAGEMENT
is a very good friend of | C:INTERACTION
is a leading global supplier of | C:ENGAGEMENT
is a driving force behind | C:ENGAGEMENT
is a victory of | C:ACHIEVEMENT
is a key figure for	| C:IS-A
is a major part of | C:IS-A
is a component of | C:IS-A
is a critical part of | C:IS-A
is a vital part of | C:IS-A
is a great example of | C:IS-A
is a critical component of | C:IS-A
is a unit of | C:IS-A
is a huge part of | C:IS-A
is a bit of | C:IS-A
is a very important part of | C:IS-A
is a prime example of | C:IS-A
is a classic example of | C:IS-A
is a division of | C:IS-A
is a crucial part of | C:IS-A
is a key component of | C:IS-A
is a major buyer of | C:ENGAGEMENT
is a regular contributor to | C:ENGAGEMENT
is a leading manufacturer of | C:ENGAGEMENT
is a global provider of | C:ENGAGEMENT
is a provider of | C:ENGAGEMENT
is a good friend of | C:INTERACTION
is a leader of | C:ENGAGEMENT
is a leading supplier of | C:ENGAGEMENT
is a highly talented expert on | C:ENGAGEMENT
is a pioneer in | C:ENGAGEMENT
is a leading global provider of | C:ENGAGEMENT
is a major real estate investor | C:ENGAGEMENT
is a longtime adviser to | C:ENGAGEMENT
is a leading candidate for | C:ENGAGEMENT
is a regional communications manager with | C:ENGAGEMENT
is a champion of | C:ENGAGEMENT
is a major player in | C:ENGAGEMENT
is a believer in | C:STATEMENT
is a collaboration between | C:INTERACTION
is a joint venture of | C:INTERACTION
is a private limited company registered in | C:LOCATION-RELATED
is a joint venture between | C:INTERACTION
is a statement of | C:STATEMENT
statement | C:STATEMENT
statements | C:STATEMENT
is a violation of | C:LAW-RELATED
is a suspect in | C:LAW-RELATED
is a global leader in | C:ENGAGEMENT
is a relative of | C:FAMILY
is a family of | C:FAMILY
is a traditional ally of | C:INTERACTION
is a longtime friend of | C:INTERACTION
is a colleague of | C:INTERACTION
is a big fan of | C:STATEMENT
is a huge fan of | C:STATEMENT
is a junior at | C:STATEMENT
is a horrible tragedy for | C:VIOLENCE-INCIDENT	
is a breach of | C:LAW-RELATED
is a finalist for | C:ACHIEVEMENT
is a win for | C:ACHIEVEMENT
is a victory for | C:ACHIEVEMENT
held in | C:LOCATION-RELATED	 
evacuated from | C:LOCATION-RELATED	 
was held in | C:LOCATION-RELATED	 
took place at | C:LOCATION-RELATED	 
arrive in | C:LOCATION-RELATED 
arrived on | C:LOCATION-RELATED
buried in | C:LOCATION-RELATED	 
take place in | C:LOCATION-RELATED	 
perform at | C:CREATION
asked not to | C:STATEMENT
compete with | C:INTERACTION
lost in	| C:ACHIEVEMENT
win at | C:ACHIEVEMENT
win in | C:ACHIEVEMENT
defeated | C:ACHIEVEMENT
afford to pay off | C:OWNERSHIP
struggle to pay off | C:OWNERSHIP
pay off a home loan for | C:OWNERSHIP
pay off the debt without | C:OWNERSHIP
used the money to pay off | C:OWNERSHIP
pay off that credit card debt in | C:OWNERSHIP
pay off your student loans with | C:OWNERSHIP
pay off the balance in | C:OWNERSHIP
balance transfer offer to pay off | C:OWNERSHIP
failed to pay off | C:OWNERSHIP
disciplined enough to pay off | C:OWNERSHIP
pay off the debt by | C:OWNERSHIP
struggling to pay off | C:OWNERSHIP
pay off debts with | C:OWNERSHIP
pay off the bills right away | C:OWNERSHIP
try to pay off | C:OWNERSHIP
struggling to pay off credit cards with | C:OWNERSHIP
borrowing to pay off | C:OWNERSHIP
pay off his debts to | C:OWNERSHIP
pay off its debt to | C:OWNERSHIP
thing to pay off | C:OWNERSHIP
pay off your debt | C:OWNERSHIP
pay off my house in | C:OWNERSHIP
loan to pay off | C:OWNERSHIP
pay off his debt with | C:OWNERSHIP
use then the extra cash to pay off | C:OWNERSHIP
earmarked to pay off | C:OWNERSHIP
pay off the charges before | C:OWNERSHIP
pay off the ambulance crew | C:OWNERSHIP
borrow to pay off | C:OWNERSHIP
struggle to pay off | C:OWNERSHIP
interest state loan to pay off | C:OWNERSHIP
even to pay off old loans on | C:OWNERSHIP
works to pay off | C:OWNERSHIP
loans to pay off | C:OWNERSHIP
pay off our credit card bills | C:OWNERSHIP
accomplish | C:CREATION	
accomplished | C:CREATION	
acted as | C:ENGAGEMENT
acts as | C:ENGAGEMENT
chaired | C:ENGAGEMENT
was held at | C:LOCATION-RELATED
sent back to jail | C:LAW-RELATED
sent back to court | C:LAW-RELATED
connect with | C:INTERACTION
arrive at | C:LOCATION-RELATED
judged | C:STATEMENT
identifies | C:STATEMENT
appeal to | C:STATEMENT
assure | C:STATEMENT
reveals | C:STATEMENT
works with | C:ENGAGEMENT
attacked by | C:VIOLENCE-INCIDENT
alleged to be from | C:LOCATION-RELATED
alleged to | C:LAW-RELATED
filmed | C:CREATION
arrived on | C:LOCATION-RELATED
prosecute | C:LAW-RELATED
prosecuted | C:LAW-RELATED
qualified | C:ACHIEVEMENT
speculated | C:STATEMENT
coordinated | C:ENGAGEMENT
voted to | C:STATEMENT
acknowledges | C:STATEMENT
was recruited | C:ENGAGEMENT
was aware of | C:STATEMENT
is aware of | C:STATEMENT
tolerated | C:STATEMENT
ensured	| C:STATEMENT
killed | C:VIOLENCE-INCIDENT
trusted | C:STATEMENT
leaves office | C:ENGAGEMENT
abolishment | C:CREATION	
abolishments | C:CREATION	
abolish | C:CREATION	
abloished | C:CREATION	
abolishes | C:CREATION	
abolition | C:CREATION	
abolitions | C:CREATION	
acceptance | C:STATEMENT
accepted | C:STATEMENT
